"filename", "language", "TypeScript", "vue", "SCSS", "JSON with Comments", "JSON", "Markdown", "HTML", "XML", "comment", "blank", "total"
"/Users/baoji/Documents/VUE/fc-admin/src/views/other/directive.vue", "vue", 0, 50, 0, 0, 0, 0, 0, 0, 0, 10, 60
"/Users/baoji/Documents/VUE/fc-admin/src/views/other/full.vue", "vue", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/baoji/Documents/VUE/fc-admin/src/views/other/keepAlive.vue", "vue", 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/baoji/Documents/VUE/fc-admin/src/views/other/layout.vue", "vue", 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/baoji/Documents/VUE/fc-admin/src/views/setting/menu.vue", "vue", 0, 31, 0, 0, 0, 0, 0, 0, 1, 3, 35
"/Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/components/account.vue", "vue", 0, 40, 0, 0, 0, 0, 0, 0, 0, 3, 43
"/Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/components/logs.vue", "vue", 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/components/password.vue", "vue", 0, 73, 0, 0, 0, 0, 0, 0, 0, 6, 79
"/Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/components/pushSettings.vue", "vue", 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/components/setting.vue", "vue", 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/components/space.vue", "vue", 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
"/Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/components/upToEnterprise.vue", "vue", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/baoji/Documents/VUE/fc-admin/src/views/userCenter/index.vue", "vue", 0, 121, 0, 0, 0, 0, 0, 0, 0, 8, 129
"/Users/baoji/Documents/VUE/fc-admin/src/views/vab/data/echarts.vue", "vue", 0, 387, 0, 0, 0, 0, 0, 0, 0, 7, 394
"/Users/baoji/Documents/VUE/fc-admin/src/views/vab/data/qrcode.vue", "vue", 0, 37, 0, 0, 0, 0, 0, 0, 0, 5, 42
"/Users/baoji/Documents/VUE/fc-admin/src/views/vab/data/statistic.vue", "vue", 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/baoji/Documents/VUE/fc-admin/src/views/vab/form/editor.vue", "vue", 0, 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/Users/baoji/Documents/VUE/fc-admin/src/views/vab/form/iconSelect.vue", "vue", 0, 51, 0, 0, 0, 0, 0, 0, 0, 10, 61
"/Users/baoji/Documents/VUE/fc-admin/src/views/vab/form/query.vue", "vue", 0, 136, 0, 0, 0, 0, 0, 0, 0, 6, 142
"/Users/baoji/Documents/VUE/fc-admin/src/views/vab/form/selectFilter.vue", "vue", 0, 83, 0, 0, 0, 0, 0, 0, 0, 5, 88
"/Users/baoji/Documents/VUE/fc-admin/src/views/vab/form/treeFilter.vue", "vue", 0, 61, 0, 0, 0, 0, 0, 0, 0, 8, 69
"/Users/baoji/Documents/VUE/fc-admin/src/views/vab/form/uploadImg.vue", "vue", 0, 209, 0, 0, 0, 0, 0, 0, 1, 19, 229
"/Users/baoji/Documents/VUE/fc-admin/src/views/vab/iconfont/index.vue", "vue", 0, 63, 0, 0, 0, 0, 0, 0, 0, 10, 73
"/Users/baoji/Documents/VUE/fc-admin/src/views/vab/table/detail.vue", "vue", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/baoji/Documents/VUE/fc-admin/src/views/vab/table/index.vue", "vue", 0, 133, 0, 0, 0, 0, 0, 0, 5, 13, 151
"/Users/baoji/Documents/VUE/fc-admin/src/views/vab/table/search.vue", "vue", 0, 104, 0, 0, 0, 0, 0, 0, 2, 10, 116
"/Users/baoji/Documents/VUE/fc-admin/src/vite-env.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"/Users/baoji/Documents/VUE/fc-admin/tsconfig.json", "JSON with Comments", 0, 0, 0, 42, 0, 0, 0, 0, 2, 0, 44
"/Users/baoji/Documents/VUE/fc-admin/tsconfig.node.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"/Users/baoji/Documents/VUE/fc-admin/vite.config.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 1, 3, 65
"Total", "-", 1576, 7319, 891, 42, 3369, 0, 151, 278, 466, 1168, 15260
